bank_name,filing_date,filing_year,risk_factors_length,mda_length,rf_hedging_density,rf_severe_density,rf_sentiment_compound,rf_sentiment_negative,rf_word_count,mda_hedging_density,mda_severe_density,mda_sentiment_compound,mda_sentiment_negative,mda_word_count,rf_length_yoy_change,mda_length_yoy_change
Huntington Bancshares,2026-02-13,2026,0,0,,,,,0.0,,,,,0.0,,
Independent Bank Group,2017-03-08,2017,0,0,,,,,0.0,,,,,0.0,,
Independent Bank Group,2018-02-27,2018,0,0,,,,,0.0,,,,,0.0,,
Independent Bank Group,2019-02-28,2019,0,0,,,,,0.0,,,,,0.0,,
Independent Bank Group,2020-03-02,2020,0,100000,,,,,0.0,11.765442142812441,0.31291069528756493,0.75036,0.0316,15979.0,,inf
Independent Bank Group,2021-03-01,2021,0,100000,,,,,0.0,13.7432881615955,0.06392227051904883,0.886975,0.0352,15644.0,,0.0
Independent Bank Group,2022-02-25,2022,0,100000,,,,,0.0,55.21554912906046,0.9415562579864146,0.47584499999999996,0.0814,14869.0,,0.0
Independent Bank Group,2023-02-21,2023,0,76572,,,,,0.0,21.813224267211996,0.08520790729379686,0.97439375,0.044875,11736.0,,-0.23428000000000004
Independent Bank Group,2024-02-20,2024,0,100000,,,,,0.0,57.06961683756071,0.404749055585537,0.39652999999999994,0.08365000000000002,14824.0,,0.3059604032805725
KeyCorp,2018-02-26,2018,47598,0,58.61828332170272,0.2791346824842987,0.20697000000000002,0.0931,7165.0,,,,,0.0,,
KeyCorp,2019-02-25,2019,50658,0,58.33661805281829,0.2627775587964788,0.4498454545454545,0.09563636363636364,7611.0,,,,,0.0,0.06428841547964192,
KeyCorp,2020-02-26,2020,53772,0,57.43411238189955,0.24863252113376427,0.01673636363636364,0.09300000000000001,8044.0,,,,,0.0,0.06147104109913548,
KeyCorp,2021-02-22,2021,62524,0,57.569296375266525,0.31982942430703626,0.23794615384615386,0.09653846153846153,9380.0,,,,,0.0,0.16276128840288617,
KeyCorp,2022-02-22,2022,63774,0,55.070940620073564,0.21019442984760903,0.25123076923076926,0.09084615384615385,9515.0,,,,,0.0,0.019992322947987917,
KeyCorp,2023-02-22,2023,70291,0,55.907780979827095,0.19212295869356388,0.13833333333333334,0.1002,10410.0,,,,,0.0,0.1021889798350426,
KeyCorp,2024-02-22,2024,100000,0,39.63556560484139,2.527099820442907,0.30964,0.062450000000000006,15037.0,,,,,0.0,0.42265723919136167,
KeyCorp,2025-02-21,2025,100000,14987,42.98089003504596,2.4466045096872313,0.377295,0.07170000000000001,15123.0,8.982035928143713,0.0,0.9970333333333333,0.03266666666666667,2338.0,0.0,inf
KeyCorp,2026-02-23,2026,100000,0,39.26994794755222,2.437899453119852,0.23029000000000005,0.06455,15177.0,,,,,0.0,0.0,-1.0
M&T Bank,2020-02-20,2020,0,0,,,,,0.0,,,,,0.0,,
M&T Bank,2021-02-22,2021,0,0,,,,,0.0,,,,,0.0,,
M&T Bank,2022-02-16,2022,0,0,,,,,0.0,,,,,0.0,,
M&T Bank,2023-02-22,2023,0,0,,,,,0.0,,,,,0.0,,
M&T Bank,2024-02-21,2024,0,100000,,,,,0.0,15.812260776808685,0.12549413314927527,0.8002199999999998,0.04255,15937.0,,inf
M&T Bank,2025-02-19,2025,0,0,,,,,0.0,,,,,0.0,,-1.0
M&T Bank,2026-02-18,2026,0,0,,,,,0.0,,,,,0.0,,
PacWest Bancorp,2017-03-01,2017,0,44481,,,,,0.0,14.512268102932376,0.14961101137043686,0.9921444444444444,0.03066666666666667,6684.0,,
PacWest Bancorp,2018-03-01,2018,0,52655,,,,,0.0,12.669233635573221,0.12420817289777666,0.983609090909091,0.02681818181818182,8051.0,,0.18376385422989583
PacWest Bancorp,2019-02-27,2019,0,48322,,,,,0.0,13.165188470066518,0.1385809312638581,0.97698,0.027100000000000003,7216.0,,-0.08229038078055262
PacWest Bancorp,2020-02-28,2020,0,48158,,,,,0.0,13.320382961010129,0.13875398917718884,0.9766600000000001,0.0304,7207.0,,-0.003393899259136579
PacWest Bancorp,2021-02-26,2021,0,57326,,,,,0.0,12.80093951849677,0.11743981209630065,0.9924333333333334,0.02591666666666667,8515.0,,0.19037335437518177
PacWest Bancorp,2022-02-28,2022,0,58049,,,,,0.0,11.965613382899628,0.11617100371747212,0.9942833333333333,0.024333333333333335,8608.0,,0.012612078289083506
PacWest Bancorp,2023-02-27,2023,0,57604,,,,,0.0,12.1765601217656,0.11708230886313079,0.9792333333333333,0.024000000000000004,8541.0,,-0.007665937397715705
Pinnacle Financial Partners,2017-02-27,2017,0,0,,,,,0.0,,,,,0.0,,
Pinnacle Financial Partners,2018-02-28,2018,0,0,,,,,0.0,,,,,0.0,,
Pinnacle Financial Partners,2019-02-28,2019,0,0,,,,,0.0,,,,,0.0,,
Pinnacle Financial Partners,2020-02-25,2020,0,0,,,,,0.0,,,,,0.0,,
Pinnacle Financial Partners,2021-02-26,2021,0,0,,,,,0.0,,,,,0.0,,
Pinnacle Financial Partners,2022-02-28,2022,0,0,,,,,0.0,,,,,0.0,,
Pinnacle Financial Partners,2023-02-28,2023,0,0,,,,,0.0,,,,,0.0,,
Pinnacle Financial Partners,2024-02-26,2024,0,0,,,,,0.0,,,,,0.0,,
Pinnacle Financial Partners,2025-02-25,2025,0,0,,,,,0.0,,,,,0.0,,
Regions Financial,2018-02-26,2018,0,0,,,,,0.0,,,,,0.0,,
Regions Financial,2019-02-22,2019,0,0,,,,,0.0,,,,,0.0,,
Regions Financial,2020-02-21,2020,0,0,,,,,0.0,,,,,0.0,,
Regions Financial,2021-02-24,2021,0,0,,,,,0.0,,,,,0.0,,
Regions Financial,2022-02-24,2022,0,0,,,,,0.0,,,,,0.0,,
Regions Financial,2023-02-24,2023,0,0,,,,,0.0,,,,,0.0,,
Regions Financial,2024-02-23,2024,0,0,,,,,0.0,,,,,0.0,,
Regions Financial,2025-02-21,2025,0,0,,,,,0.0,,,,,0.0,,
Regions Financial,2026-02-24,2026,0,0,,,,,0.0,,,,,0.0,,
Renasant Corporation,2017-02-27,2017,0,0,,,,,0.0,,,,,0.0,,
Renasant Corporation,2018-02-28,2018,0,0,,,,,0.0,,,,,0.0,,
Renasant Corporation,2019-02-27,2019,0,0,,,,,0.0,,,,,0.0,,
Renasant Corporation,2020-02-27,2020,0,60042,,,,,0.0,50.73256068226547,0.0,0.4598923076923077,0.06669230769230769,9146.0,,inf
Renasant Corporation,2021-02-26,2021,0,36908,,,,,0.0,48.8067468150009,0.0,0.7423375,0.0695,5573.0,,-0.38529695879550985
Renasant Corporation,2022-02-25,2022,0,30161,,,,,0.0,48.74283193647993,0.0,0.6896571428571429,0.053,4534.0,,-0.18280589574076078
Renasant Corporation,2023-02-24,2023,0,0,,,,,0.0,,,,,0.0,,-1.0
Renasant Corporation,2024-02-23,2024,0,0,,,,,0.0,,,,,0.0,,
Renasant Corporation,2025-02-26,2025,0,0,,,,,0.0,,,,,0.0,,
Renasant Corporation,2026-03-02,2026,0,0,,,,,0.0,,,,,0.0,,
Silicon Valley Bank,2017-02-28,2017,0,0,,,,,0.0,,,,,0.0,,
Silicon Valley Bank,2018-02-28,2018,0,0,,,,,0.0,,,,,0.0,,
Silicon Valley Bank,2019-02-28,2019,0,0,,,,,0.0,,,,,0.0,,
Silicon Valley Bank,2020-02-28,2020,0,0,,,,,0.0,,,,,0.0,,
Silicon Valley Bank,2021-03-01,2021,0,0,,,,,0.0,,,,,0.0,,
Silicon Valley Bank,2022-03-01,2022,0,0,,,,,0.0,,,,,0.0,,
Silicon Valley Bank,2023-02-24,2023,0,0,,,,,0.0,,,,,0.0,,
Silvergate Capital,2020-03-10,2020,0,0,,,,,0.0,,,,,0.0,,
Silvergate Capital,2021-03-08,2021,0,0,,,,,0.0,,,,,0.0,,
Silvergate Capital,2022-02-28,2022,0,0,,,,,0.0,,,,,0.0,,
South State Corporation,2017-03-24,2017,512,0,33.70786516853933,0.0,0.5319,0.048,89.0,,,,,0.0,,
South State Corporation,2018-04-02,2018,512,0,33.70786516853933,0.0,0.5319,0.048,89.0,,,,,0.0,0.0,
South State Corporation,2019-03-28,2019,512,0,33.70786516853933,0.0,0.5319,0.048,89.0,,,,,0.0,0.0,
South State Corporation,2020-03-23,2020,534,0,31.914893617021274,0.0,0.5319,0.046,94.0,,,,,0.0,0.04296875,
South State Corporation,2021-03-19,2021,516,0,32.96703296703297,0.0,0.5319,0.048,91.0,,,,,0.0,-0.0337078651685393,
South State Corporation,2022-03-18,2022,516,0,32.96703296703297,0.0,0.5319,0.048,91.0,,,,,0.0,0.0,
South State Corporation,2023-03-17,2023,516,0,32.96703296703297,0.0,0.5319,0.048,91.0,,,,,0.0,0.0,
South State Corporation,2024-03-15,2024,518,0,32.25806451612903,0.0,0.5319,0.048,93.0,,,,,0.0,0.003875968992248069,
South State Corporation,2025-03-19,2025,518,0,32.25806451612903,0.0,0.5319,0.048,93.0,,,,,0.0,0.0,
South State Corporation,2026-03-18,2026,532,0,32.25806451612903,0.0,0.5319,0.046,93.0,,,,,0.0,0.027027027027026973,
Synovus Financial,2019-02-28,2019,0,6495,,,,,0.0,72.60726072607261,0.0,-0.035499999999999976,0.154,909.0,,
Synovus Financial,2020-03-02,2020,0,100000,,,,,0.0,39.97348359297315,0.9280742459396751,0.60561,0.05575,15085.0,,14.396458814472672
Synovus Financial,2021-03-01,2021,0,100000,,,,,0.0,35.61881849772789,0.9355787222667735,0.57119,0.0526,14964.0,,0.0
