TRADE,NIMY,IDT1RWAJR,DEPINS,LNATRES,BKCLASS,NOIJ,ELNATR,INTINC,NCLNLSR,P9LTOT,LNLSNET,IDT1CER,DEPFOR,ROA,P3LTOT,DEPDOM,ROE,LNLSGR,NETINC,EQ,LNLSDEPR,NTLNLSR,DEPUNINS,FREPO,CHBAL,OFFDOM,CERT,STALP,EINTEXP,COREDEP,DEPIDOM,REPDTE,RBC1AAJ,SC,PTAXNETINC,NUMEMP,ASSET,NONIX,DEP,NIM,CITY,RBCRWAJ,P9ASSET,NAMEFULL,P3ASSET,NONII,LIAB,EQTOT,ID,bank_name,ticker,failed,failure_date,report_date,year,quarter
220778,2.725882843197686,10.751287118512291,6258998,512958,SM,534824.65,247040,1632231,0.2752619643194771,0.0,37890459,10.751287118512291,7078319.0,0.9621205356479251,,79186262,13.78,38403417,583145,6104362,43.923541459037516,0.23748032687616705,74059167,439516,14920167,6,24735,CA,54427,79138313,22419837,20200930,6.44883563402503,38805888,734046,3693,95182370,1059984,86264581,1577804,SANTA CLARA,11.751072378330726,0,SILICON VALLEY BANK,29821,463266,89078008,6104362,24735_20200930,Silicon Valley Bank,SIVB,True,2023-03-10,2020-09-30,2020,3
284526,2.6072179988050173,10.7010759238799,6206736,447765,SM,771977.11,189673,2239556,0.23072629558667013,0.0,44733041,10.7010759238799,8425853.0,0.9451711981217444,,94768254,13.94,45180806,826243,7068964,43.34844527507758,0.19505750929594085,88561518,213325,16969801,5,24735,CA,63337,94722320,29701301,20201231,6.433376528460485,47435138,1057753,3763,113839098,1560022,103194107,2176219,SANTA CLARA,11.493333498515703,0,SILICON VALLEY BANK,51882,631229,106770134,7068964,24735_20201231,Silicon Valley Bank,SIVB,True,2023-03-10,2020-12-31,2020,4
267703,2.2022240910423987,12.93170943096922,6637866,391684,SM,270983.69,18323,678526,0.19873099460102137,0.0,47280296,12.93170943096922,10513246.0,0.8914316812052401,,114737949,14.3,47671980,283141,8765837,37.74837916716084,0.7767305980458141,108100082,279860,20433787,5,24735,CA,10440,114710197,32566002,20210331,7.198173448258382,67021963,362236,3909,140260913,454518,125251195,668086,SANTA CLARA,13.562444471786229,4492,SILICON VALLEY BANK,36515,166991,131495076,8765837,24735_20210331,Silicon Valley Bank,SIVB,True,2023-03-10,2021-03-31,2021,1
232078,2.1168204459525315,13.662411371471986,6952210,395331,SM,574800.59,53070,1429955,0.1606250344513936,0.0,50346448,13.662411371471986,13085918.0,0.8479888233161217,,134384503,13.41,50741779,586950,10428065,34.14003137619035,0.4245118887333932,127432293,754390,22514950,5,24735,CA,22227,134356007,36151805,20210630,6.9570500898539445,83739026,758895,4078,161200274,955912,147470421,1407728,SANTA CLARA,14.256758579785087,2548,SILICON VALLEY BANK,15724,360149,150772209,10428065,24735_20210630,Silicon Valley Bank,SIVB,True,2023-03-10,2021-06-30,2021,2
282988,2.0814380270101163,14.683579936979866,9177873,397627,SM,847922.6,74371,2314134,0.19155390173146908,0.0,61080630,14.683579936979866,13460987.0,0.7596727295164357,,158825895,11.56,61478257,859820,13400159,35.45286169843157,0.29329725749811936,149648192,212026,17975157,24,24735,CA,41189,158290302,47375936,20210930,7.297063270665167,105246820,1133047,5554,188327020,1636077,172286882,2272945,SANTA CLARA,15.21005309100426,3381,SILICON VALLEY BANK,14140,570550,174926861,13400159,24735_20210930,Silicon Valley Bank,SIVB,True,2023-03-10,2021-09-30,2021,3
141000,2.0542191598409194,14.887897855702853,9361000,423000,SM,1257660.0,123000,3288000,0.12674462466993588,0.0,65852000,14.887897855702853,16053000.0,0.7965936767908325,,175378000,11.88,66275000,1294000,14795000,34.39986209130183,0.20821983970079555,166017000,599000,13125000,22,24735,CA,62000,175096000,53693000,20211231,7.242916584109372,125288000,1686000,6203,208581000,2213000,191431000,3226000,SANTA CLARA,15.404117539251022,0,SILICON VALLEY BANK,72000,796000,193786000,14795000,24735_20211231,Silicon Valley Bank,SIVB,True,2023-03-10,2021-12-31,2021,4
229000,2.1231022600220713,14.885826771653543,9884000,421000,SM,474500.0,11000,1123000,0.10631480834207153,0.0,68243000,14.885826771653543,17612000.0,0.9643866458716887,,182802000,14.0,68664000,514000,14571000,34.051014400191605,0.053357442992759685,172918000,417000,19663000,18,24735,CA,24000,182541000,58689000,20220331,7.0852013735658845,124604000,646000,5928,217804000,679000,200414000,1099000,SANTA CLARA,15.409448818897639,2000,SILICON VALLEY BANK,81000,237000,203233000,14571000,24735_20220331,Silicon Valley Bank,SIVB,True,2023-03-10,2022-03-31,2022,1
327000,2.2197651426496106,15.386135632140638,9648000,545000,SM,977710.0,207000,2400000,0.13107083462525015,0.0,70409000,15.386135632140638,15196000.0,0.9570532537146922,,174957000,13.65,70954000,1018000,15386000,37.02755149800424,0.08159578033250281,165319000,539000,14269000,18,24735,CA,108000,174708000,64072000,20220630,7.550175950641458,121944000,1332000,6574,211824000,1318000,190153000,2292000,SANTA CLARA,16.04961508780515,0,SILICON VALLEY BANK,59000,565000,196438000,15386000,24735_20220630,Silicon Valley Bank,SIVB,True,2023-03-10,2022-06-30,2022,2
253000,2.277511602478435,15.53806399589488,10118000,557000,SM,1565920.0,279000,3919000,0.11368677905944986,0.0,71571000,15.53806399589488,13537000.0,1.0101269486936812,,165341000,14.31,72128000,1607000,15129000,40.01106899674639,0.08248571151100095,155263000,393000,13032000,18,24735,CA,404000,164158000,73190000,20220930,7.91355155452263,119905000,2141000,6931,210244000,1992000,178878000,3515000,SANTA CLARA,16.232635707216946,6000,SILICON VALLEY BANK,68000,897000,195115000,15129000,24735_20220930,Silicon Valley Bank,SIVB,True,2023-03-10,2022-09-30,2022,3
127000,2.2338375711597145,15.263918951688957,9990000,636000,SM,2004250.0,420000,5681000,0.18720790852402053,0.0,73613000,15.263918951688957,13899000.0,0.9569929993881674,,161479000,13.43,74249000,2024000,15456000,41.97390778774989,0.1007749737417322,151592000,707000,12511000,18,24735,CA,1097000,160075000,82085000,20221231,7.962574261136828,117297000,2702000,7095,209026000,2729000,175378000,4584000,SANTA CLARA,16.050691120072567,6000,SILICON VALLEY BANK,107000,1267000,193570000,15456000,24735_20221231,Silicon Valley Bank,SIVB,True,2023-03-10,2022-12-31,2022,4
